Tamanho da imagem, Acurácia
5,	0.796
6,	0.858
7,	0.868
8,	0.868
9,	0.878
10,	0.893
11,	0.893
12,	0.899
13,	0.904
14,	0.907
15,	0.906
16,	0.912
17,	0.907
18,	0.907
19,	0.913
20,	0.921
21,	0.916
22,	0.918
23,	0.918
24,	0.913
25,	0.918
26,	0.919
27,	0.914
28,	0.922
29,	0.919
30,	0.916
31,	0.921
32,	0.916
33,	0.91
34,	0.918
35,	0.919
36,	0.921
37,	0.921
38,	0.917
39,	0.915
40,	0.917
41,	0.919
42,	0.924
43,	0.921
44,	0.918
45,	0.917
46,	0.92
47,	0.918
48,	0.914
49,	0.919
50,	0.921
51,	0.918
52,	0.917
53,	0.919
54,	0.922
55,	0.921
56,	0.922
57,	0.918
58,	0.917
59,	0.919
60,	0.924
61,	0.918
62,	0.912
63,	0.925
64,	0.922
65,	0.919
66,	0.919
67,	0.917
68,	0.918
69,	0.919
70,	0.921
71,	0.918
72,	0.922
73,	0.917
74,	0.918
75,	0.921
76,	0.925
77,	0.92
78,	0.922
79,	0.921
80,	0.92
81,	0.919
82,	0.919
83,	0.919
84,	0.921
85,	0.918
86,	0.92
87,	0.919
88,	0.918
89,	0.921
90,	0.921
91,	0.919
92,	0.919
93,	0.919
94,	0.923
95,	0.921
96,	0.92
97,	0.918
98,	0.923
99,	0.919
100, 0.916